index,word,word_sense,hypernyms,hyponyms
72,class,class.n.07,taxonomic group biological group group abstraction entity,acnidosporidia acrasiomycetes actinopoda agnatha alismatidae amphibia amphineura anapsida angiospermae anthoceropsida anthozoa aphasmidia arachnida archaeornithes archiannelida archosauria arecidae ascidiaceae ascomycetes asteridae asteroidea aves bacillariophyceae basidiomycetes bivalvia branchiopoda bryopsida caryophyllidae cephalopoda cestoda channidae charophyceae chelicerata chilopoda chlorophyceae chondrichthyes chrysophyceae chytridiomycetes ciliata cirripedia class cyanobacteria cnidosporidia commelinidae coniferopsida copepoda crinoidea crossopterygii crustacea cryptophyceae cycadopsida cyclosporeae deuteromycetes dibranchiata dicotyledones dilleniidae diplopoda dipnoi discomycetes echinoidea elasmobranchii entomostraca euascomycetes euglenophyceae eumycetes euryalida eutheria exopterygota filicopsida gasteromycetes gastropoda ginkgopsida gnathostomata gnetopsida gymnospermae hamamelidae hemiascomycetes hepaticopsida heterobasidiomycetes hirudinea holocephali holothuroidea hominoidea homobasidiomycetes hyalospongiae hydrozoa hymenomycetes infusoria insecta larvacea lepidosauria liliidae lycopodineae lycopsida magnoliidae malacostraca mammalia mastigophora metatheria monocotyledones myxomycetes nuda oligochaeta onychophora oomycetes ophiurida ophiuroidea opisthobranchia osteichthyes ostracoda pantotheria pauropoda phaeophyceae phasmidia phytomastigina pinopsida placodermi plectomycetes polychaeta polyplacophora prototheria psilopsida pteridospermopsida pyrenomycetes reptilia rhizopoda rhodophyceae rosidae sarcodina scaphopoda schizomycetes scyphozoa sphenopsida sporozoa superclass myriapoda symphyla synapsida tardigrada taxopsida teleostei telosporidia tentaculata thaliacea tiliomycetes trematoda turbellaria ulvophyceae xanthophyceae zoomastigina zygomycetes 
73,class,class.n.08,elegance quality attribute abstraction entity,
74,classify,classify.v.01,categorize reason think,catalogue count dichotomize grade group isolate pigeonhole reclassify refer size unitize 
75,tree,tree.n.01,woody plant vascular plant plant organism living thing whole object physical entity entity,aalii acacia african walnut albizzia alder angelim angiospermous tree anise tree arbor aroeira blanca ash australian nettle balata bayberry bean tree beech birch bitterwood tree black mangrove blackwood bloodwood tree bonduc bonsai bottle-tree brazilian ironwood brazilian pepper tree brazilwood breakax burma padauk button tree cabbage tree calaba calabash camwood caracolito carib wood cassia casuarina chaulmoogra chestnut chinaberry chinese parasol tree christmas bush cinchona clusia cockspur cocobolo coffee conacaste coral tree coralwood cork tree dagame devilwood dhak dhawa dipterocarp dita divi-divi ebony elm fever tree fig tree fringe tree giant chinkapin gliricidia granadilla tree guama guinea pepper gum tree gutta-percha tree gutta-percha tree gymnospermous tree hackberry hazel hop hornbeam hornbeam hydnocarpus laurifolia ice-cream bean idesia incense tree indian beech inga ivory tree jamaica dogwood jamaican cherry japanese pagoda tree kentucky coffee tree ketembilla keurboom keurboom kingwood kino kowhai lacebark lancewood lanseh tree laurelwood lead tree lemonwood lepidobotrys linden locust tree mahogany manila tamarind marblewood maria marmalade tree mayeng mescal bean millettia montezuma msasa nakedwood necklace tree neem nitta tree oak oak chestnut obeche opepe padauk palm palo verde pandanus pepper tree pepper tree peruvian balsam plane tree pollard poon prickly ash prickly ash princewood puka quandong quandong quira red sandalwood red silk-cotton tree ribbon tree rose chestnut rosewood sandalwood tree sapling satinwood scarlet wisteria tree scrub beefwood shade tree shaving-brush tree shingle tree silver ash silver tree silver tree sissoo snag soapberry souari southern beech spanish tamarind tanbark oak teak timber tree tipu tolu tree tree of knowledge treelet trifoliate orange tulipwood tree turreae wheel tree white mangrove white mangrove wild fig wild medlar wild tamarind willow winter's bark yellowwood zebrawood 
76,tree,tree.n.02,plane figure figure shape attribute abstraction entity,cladogram stemma 
77,tree,tree.n.03, ,
78,corner,corner.v.02,steer control,
79,tree,tree.v.02,plant put move,
80,tree,tree.v.03,chase pursue travel,
81,tree,tree.v.04,elongate lengthen increase change,
